,cow_id,breed_event_id,first_recheck_DSLB,resolution_DSLB,days_to_resolution,samples_to_resolution,final_status
0,10008.0392159.0,10008.0392159.0_2021_11_1,78,78,0,2,rc_preg
1,10008.0401430.0,10008.0401430.0_2022_3_2,28,28,0,2,rc_open
2,10058.0401430.0,10058.0401430.0_2023_6_2,40,40,0,1,rc_open
3,10076.0401430.0,10076.0401430.0_2022_7_1,39,39,0,2,rc_open
4,10116.0401430.0,10116.0401430.0_2022_10_1,36,36,0,2,rc_open
5,10116.0401430.0,10116.0401430.0_2023_1_3,39,39,0,2,rc_open
6,10116.0401430.0,10116.0401430.0_2023_3_4,40,40,0,2,rc_open
7,10124.0401430.0,10124.0401430.0_2023_9_3,36,36,0,3,rc_open
8,10131.0401430.0,10131.0401430.0_2022_6_2,32,32,0,1,rc_open
9,10140.0401430.0,10140.0401430.0_2023_4_2,35,35,0,4,rc_loss
10,10147.0401430.0,10147.0401430.0_2022_6_1,35,35,0,2,rc_open
11,10152.0401430.0,10152.0401430.0_2021_12_1,35,35,0,1,rc_open
12,10174.0401430.0,10174.0401430.0_2023_11_4,37,37,0,2,rc_preg
13,10176.0401430.0,10176.0401430.0_2022_10_2,38,38,0,2,rc_open
14,10176.0401430.0,10176.0401430.0_2022_8_1,37,37,0,2,rc_open
15,10203.0401430.0,10203.0401430.0_2022_11_2,39,39,0,5,rc_open
16,10203.0401430.0,10203.0401430.0_2022_9_1,39,39,0,2,rc_open
17,10214.0401430.0,10214.0401430.0_2023_9_2,36,36,0,4,rc_open
18,10216.0401430.0,10216.0401430.0_2021_11_1,78,78,0,2,rc_preg
19,10224.0401430.0,10224.0401430.0_2021_11_1,71,71,0,2,rc_preg
20,10267.0401430.0,10267.0401430.0_2023_6_2,36,36,0,2,rc_open
21,10306.0401430.0,10306.0401430.0_2023_8_2,39,39,0,2,rc_open
22,10318.0401430.0,10318.0401430.0_2021_12_1,35,35,0,2,rc_open
23,10318.0401430.0,10318.0401430.0_2023_5_4,37,37,0,2,rc_open
